Start Nr.;Platz;Trial 1;Trial 2;Gesamt
1;29;3;4;7
2;10;2;1;3
3;36;4;4;8
4;6;1;1;2
5;6;2;0;2
6;43;4;5;9
7;11;3;1;4
8;1;1;0;1
9;21;5;1;6
10;43;4;5;9
11;43;5;4;9
12;11;4;0;4
13;55;5;5;10
14;1;1;0;1
15;11;4;0;4
16;43;4;5;9
17;71;20;20;40
18;21;4;2;6
19;29;5;2;7
20;36;5;3;8
21;11;2;2;4
22;43;5;4;9
23;55;5;5;10
24;19;0;5;5
25;36;5;3;8
26;19;0;5;5
27;43;4;5;9
28;11;4;0;4
29;29;4;3;7
30;6;1;1;2
31;55;5;5;10
32;36;5;3;8
33;55;5;5;10
34;29;2;5;7
35;36;5;3;8
36;36;4;4;8
37;55;5;5;10
38;21;3;3;6
39;29;2;5;7
40;71;20;20;40
41;55;5;5;10
42;55;5;5;10
43;55;5;5;10
44;43;5;4;9
45;55;5;5;10
46;1;1;0;1
47;43;5;4;9
48;55;5;5;10
49;11;4;0;4
50;43;4;5;9
51;29;5;2;7
52;43;5;4;9
53;71;20;20;40
54;55;5;5;10
55;55;5;5;10
56;29;5;2;7
57;11;1;3;4
58;21;5;1;6
59;6;1;1;2
60;71;20;20;40
61;71;20;20;40
62;21;4;2;6
63;55;5;5;10
64;1;1;0;1
65;11;3;1;4
66;55;5;5;10
67;55;5;5;10
68;21;5;1;6
69;43;5;4;9
70;1;0;1;1
71;43;5;4;9
72;21;4;2;6
73;55;5;5;10
74;71;20;20;40
75;36;4;4;8
76;21;5;1;6
77;71;20;20;40
