Start Nr.;Trial Punkte 1;Trial Punkte 2;Gesamtpunkte;Platz
1;2;5;7;27
2;4;0;4;13
3;4;5;9;39
4;5;3;8;31
5;3;1;4;18
6;0;0;0;1
7;0;0;0;1
8;4;4;8;36
9;5;5;10;44
10;4;4;8;36
11;4;0;4;13
12;5;5;10;44
13;4;0;4;13
14;5;0;5;21
15;4;3;7;30
16;5;2;7;49
17;1;0;1;9
18;4;4;8;36
19;4;0;4;13
20;0;0;0;1
21;5;4;9;39
22;1;0;1;9
23;0;0;0;1
24;0;0;0;1
25;0;0;0;1
26;0;0;0;1
27;1;4;5;25
28;3;4;7;49
29;5;2;7;27
30;0;0;0;1
31;0;5;5;21
32;2;4;6;49
33;4;0;4;13
34;5;5;10;44
35;3;3;6;26
36;5;0;5;21
37;5;2;7;27
38;3;1;4;18
39;1;3;4;18
40;0;5;5;21
41;3;5;8;31
42;4;5;9;39
43;2;0;2;12
44;5;5;10;44
45;5;4;9;39
46;4;4;8;36
47;4;4;8;36
48;5;4;9;39
49;5;5;10;44
50;4;4;8;36
51;1;0;1;9
52;20;20;40;49
