Platz;Start Nr.;Trial 1;Trial 2;Gesamt
1;8;1;0;1
1;14;1;0;1
1;46;1;0;1
1;64;1;0;1
1;70;0;1;1
6;4;1;1;2
6;5;2;0;2
6;30;1;1;2
6;59;1;1;2
10;2;2;1;3
11;7;3;1;4
11;12;4;0;4
11;15;4;0;4
11;21;2;2;4
11;28;4;0;4
11;49;4;0;4
11;57;1;3;4
11;65;3;1;4
19;24;0;5;5
19;26;0;5;5
21;9;5;1;6
21;18;4;2;6
21;38;3;3;6
21;58;5;1;6
21;62;4;2;6
21;68;5;1;6
21;72;4;2;6
21;76;5;1;6
29;1;3;4;7
29;19;5;2;7
29;29;4;3;7
29;34;2;5;7
29;39;2;5;7
29;51;5;2;7
29;56;5;2;7
36;3;4;4;8
36;20;5;3;8
36;25;5;3;8
36;32;5;3;8
36;35;5;3;8
36;36;4;4;8
36;75;4;4;8
43;6;4;5;9
43;10;4;5;9
43;11;5;4;9
43;16;4;5;9
43;22;5;4;9
43;27;4;5;9
43;44;5;4;9
43;47;5;4;9
43;50;4;5;9
43;52;5;4;9
43;69;5;4;9
43;71;5;4;9
55;13;5;5;10
55;23;5;5;10
55;31;5;5;10
55;33;5;5;10
55;37;5;5;10
55;41;5;5;10
55;42;5;5;10
55;43;5;5;10
55;45;5;5;10
55;48;5;5;10
55;54;5;5;10
55;55;5;5;10
55;63;5;5;10
55;66;5;5;10
55;67;5;5;10
55;73;5;5;10
71;17;20;20;40
71;40;20;20;40
71;53;20;20;40
71;60;20;20;40
71;61;20;20;40
71;74;20;20;40
71;77;20;20;40
